"","B_Cycling","B_GC_DZ","B_GC_LZ","B_GC_prePB","B_IFN","B_activated","B_mem","B_naive","B_plasma","B_preGC","DC_CCR7.","DC_cDC1","DC_cDC2","DC_pDC","Endo","FDC","ILC","Macrophages_M1","Macrophages_M2","Mast","Monocytes","NK","NKT","T_CD4.","T_CD4._TfH","T_CD4._TfH_GC","T_CD4._naive","T_CD8._CD161.","T_CD8._cytotoxic","T_CD8._naive","T_TIM3.","T_TfR","T_Treg","VSMC"
"Elp4",0.34230265,0.15385173,0.15081035,0.16198827,0.04981214,0.07367992,0.078686446,0.064244784,0.11196289,0.1362688,0.08604217,0.08075242,0.11008966,0.11830045,0.15010943,0.18717602,0.036971174,0.15026228,0.049191624,0.12295188,0.02888658,0.08169235,0.081944704,0.06779262,0.05650659,0.094837315,0.06871983,0.045253944,0.0610898,0.0774597,0.20854624,0.087444045,0.06410609,0.35813564
"Elp5",1.0051367,0.31697544,0.41212454,0.37252274,0.15158394,0.17733058,0.19477952,0.15999867,0.37599814,0.3473106,0.09337723,0.19651704,0.33329436,0.2780867,0.32052985,0.24513662,0.14764641,0.21712649,0.14768331,0.30270007,0.096981995,0.19419888,0.15988138,0.12788652,0.10274366,0.15928333,0.14234972,0.13215896,0.11670304,0.18272133,0.4844155,0.17307243,0.14716543,0.23033553
"Elp6",0.8650758,0.44450894,0.3615783,0.46743953,0.063513055,0.10942434,0.13213186,0.103279606,0.22690399,0.1746614,0.09294107,0.08131651,0.28807205,0.27305925,0.29011834,0.20871496,0.094082564,0.13027191,0.14843848,0.098674774,0.071442164,0.17909016,0.12712075,0.11269561,0.06394414,0.1268223,0.118311375,0.07916183,0.09576998,0.10940004,0.5384943,0.15557182,0.0994443,0.12164353
"Emb",0.66205704,0.43925816,0.53817093,0.18442152,0.44633362,0.3448645,0.48587814,0.31740677,0.14017613,0.2993858,0.0944491,0.109599,0.4095136,1.1082315,0.053154655,0.4577271,0.41364837,0.13345754,0.25371236,0.10801823,0.31573397,0.53179073,0.6335351,0.61595017,0.45146132,0.478291,0.32758367,0.7164555,0.5024138,0.3497735,0.9633994,0.41925663,0.2862769,0.16773248
"Emc1",0.113755256,0.07885995,0.09318485,0.15873569,0.057565354,0.059666093,0.06073273,0.042615194,0.08173286,0.11139077,0.12758769,0.032376118,0.16583502,0.13674572,0.15304285,0.080424696,0.100230165,0.038522378,0.051105306,0.10164254,0.045638796,0.083756655,0.06340689,0.04653656,0.054780338,0.053973086,0.051860224,0.04434722,0.041024175,0.047627937,0.16746135,0.06828635,0.046997067,0.28868026
"Emc10",0.63633883,0.44038466,0.54501677,0.6753309,0.3794957,0.32075545,0.43330485,0.31715745,0.89972764,0.36662063,0.64431405,0.1306077,0.9863211,0.8811318,0.6372926,0.7793701,0.5014041,0.46692687,0.4498544,0.10511877,0.61820084,0.44343266,0.36040264,0.45399517,0.4051257,0.5160423,0.43876383,0.42337465,0.3638508,0.47221762,0.7786943,0.59555066,0.4625661,0.58988994
"Emc2",0.23821661,0.115799926,0.13077952,0.22598398,0.13180812,0.06947007,0.0858119,0.057124864,0.39688957,0.11892207,0.18916751,0.15644936,0.30859092,0.20867218,0.6207088,0.3330978,0.12992992,0.18450342,0.120264396,0.10657174,0.09452987,0.09782576,0.10576483,0.122814886,0.093520254,0.0938098,0.082817964,0.07224578,0.07622357,0.08150723,0.24564178,0.10002821,0.084062755,0.79805535
"Emc3",0.56170917,0.3223837,0.3851584,0.5556482,0.29234302,0.2207694,0.2707649,0.21310893,0.61273676,0.25143626,0.28697017,0.14669928,0.5039456,0.63008296,0.67046654,0.29938585,0.21798478,0.31059378,0.29785293,0.32468015,0.34307522,0.257654,0.24118796,0.26129714,0.20116277,0.33565027,0.20159237,0.23740466,0.27653804,0.22898448,0.6604003,0.35410294,0.23321867,0.70173967
"Emc4",1.1929702,0.62711555,0.56920046,0.59799117,0.4282169,0.28110644,0.42187634,0.30052066,1.1922772,0.5622334,0.5292846,0.12900557,0.83371234,0.7951377,0.9650778,0.6059476,0.3772014,0.51361036,0.33019525,0.24914433,0.37905595,0.43320718,0.40506148,0.43522924,0.32112762,0.4645427,0.34399343,0.35645014,0.3662829,0.40047765,0.97597593,0.53460705,0.310667,1.2451211
"Emc6",1.7461492,0.7354904,0.6560128,0.9667458,0.28051656,0.19891512,0.31726313,0.19709118,1.0365566,0.4370544,0.36048824,0.40047538,0.7906696,0.63850033,0.5754894,0.58958495,0.2634188,0.41796753,0.2702545,0.25874624,0.46436915,0.34518015,0.26521605,0.28673723,0.21651301,0.42425865,0.2664215,0.27866572,0.22938088,0.29870513,0.91899407,0.51190406,0.27798167,0.73083895
"Emc7",0.52230227,0.34030473,0.35186988,0.5665964,0.3009934,0.20825425,0.26593408,0.18106976,1.2153773,0.36106732,0.25988597,0.23270805,0.6393849,0.9424781,0.80223113,0.37642512,0.28025416,0.32033357,0.32529962,0.59115374,0.41466653,0.35183963,0.32072926,0.3912506,0.2799858,0.3936161,0.2822748,0.32352346,0.31654143,0.29969376,0.74782926,0.5620283,0.30097973,0.76701945
"Emc8",0.6745394,0.3250944,0.28440323,0.53631526,0.10481575,0.110076,0.13763107,0.097846314,0.2874638,0.15804262,0.35319585,0.22988936,0.54546076,0.3060303,0.37136605,0.17163484,0.11904703,0.23948951,0.2503873,0.10747232,0.2573484,0.16673194,0.100167245,0.13095239,0.08757138,0.16663916,0.113731995,0.11371491,0.117066495,0.12488889,0.45306155,0.1946189,0.12554954,0.43583557
"Emc9",0.70805514,0.10071609,0.12008174,0.07103389,0.059365794,0.042907495,0.06474301,0.04135811,0.28862464,0.0985976,0.08477726,0.11711669,0.16505069,0.13136487,0.1368339,0.09797059,0.0883611,0.064424895,0.06755271,0.1206351,0.03996202,0.083342224,0.0385532,0.041359607,0.04645934,0.18092564,0.042315546,0.037058894,0.05464829,0.04104048,0.27046528,0.17396693,0.058710385,0.31610528
"Emcn",0.00047894093,0.00080467673,0.0006288705,0.022868078,0.011787303,0.00042482078,0.00019029064,0.00028523555,0.002331215,0.0043047643,0.049201913,0.018870799,0.010574475,0.022707336,3.0543573,0.02824418,0.017993249,0.018014131,0.014666369,0.118219756,0.005455777,0.0011604683,0.0015182602,0.00059664005,0.0004391574,0.00047451796,0.0011660291,0.00090008863,0.00038995748,0.0016197496,0.008125763,0.0019475076,0.0019131084,0.05028924
"Emd",1.2573085,0.43206605,0.52690196,0.6893661,0.42303714,0.33395827,0.49100554,0.29628724,1.0145679,0.52043957,0.5719141,0.24713539,0.8425157,0.7838347,0.51287735,0.425334,0.5049716,0.34792975,0.29009813,0.5107694,0.4366229,0.6047596,0.49594498,0.62348676,0.531028,0.6060944,0.49129784,0.5673339,0.45174316,0.53425837,0.98908436,0.65987074,0.48394808,1.0042263
"Emg1",0.326172,0.14080706,0.16598713,0.15264492,0.0606969,0.033876535,0.057814296,0.05557476,0.09223398,0.19452408,0.058080543,0.15438104,0.15419243,0.09574679,0.19481696,0.22524716,0.02564967,0.1308038,0.060145345,0.09886743,0.04860198,0.048953284,0.031258486,0.039189525,0.024606196,0.05367794,0.037177995,0.028395632,0.02381787,0.032360744,0.21279012,0.063410506,0.025770288,0.26751414
"Emid1",0.0010805035,0.0008858719,0.0011609823,0.031744257,0.009272209,0.00069038424,0.00019468983,0.00028411063,0.0037898857,0.0047415085,0.05561246,0.01993933,0.012306559,0.008887967,0.1642014,0.06515409,0.07923205,0.18611242,0.03375938,0.40064546,0.00482352,0.0068784216,0.0030260615,0.0016926808,0.00039703416,0.08772677,0.00086083804,0.0013470137,0.0011488375,0.0010500673,0.024941413,0.031188175,0.0011997917,0.17620322
"Emilin1",0.0029127717,0.0007859548,0.0010839574,0.029061591,0.017336225,0.0015271646,0.00023228931,0.0006162684,0.0036519077,0.0044834027,0.05627897,0.023284845,0.021916864,0.070087664,0.16501963,0.3443594,0.046485305,0.037194468,0.0515346,0.2265092,0.0056788777,0.0012910097,0.0014598286,0.00077421975,0.0013085535,0.00050507934,0.0004637614,0.0014491444,0.0012083303,0.0007276099,0.0054954076,0.0017541301,0.00063794164,1.4227209
"Emilin2",0.020601122,0.014940741,0.07998919,0.036609147,0.036416937,0.01900523,0.069396,0.013524897,0.013743688,0.03550501,0.35853803,0.019278256,0.62687814,0.14171867,0.12227156,0.02786749,0.032221835,0.16661158,0.16428472,0.28529832,0.7000062,0.012274748,0.01492155,0.01777833,0.0096350005,0.0013121619,0.008057822,0.009330458,0.01012571,0.012578405,0.05871994,0.018183406,0.006273885,0.735303
"Eml2",0.19806865,0.1077704,0.1533054,0.101792715,0.07394829,0.07230195,0.107769616,0.07654368,0.3125805,0.10104738,0.20798558,0.06204738,0.14822459,0.19762468,0.2255116,0.06398341,0.17629349,0.08514629,0.050183963,0.09742265,0.07816693,0.23013505,0.14186028,0.12212641,0.0985369,0.14369419,0.090310715,0.12203069,0.11216221,0.09245441,0.39243874,0.15832789,0.15690567,0.37602162
"Eml3",0.22268414,0.07709957,0.13814051,0.11768652,0.14088891,0.10918884,0.13521041,0.11809803,0.07518574,0.15699668,0.17600428,0.0619,0.17171352,0.11903817,0.48836127,0.24702317,0.17722355,0.13753222,0.09290086,0.11349792,0.22830723,0.18700682,0.2077892,0.16472659,0.12796961,0.13053943,0.13863878,0.12124983,0.13874288,0.19147865,0.37840542,0.1995085,0.14368477,0.28259233
"Eml4",0.35601038,0.10990685,0.15713951,0.24923733,0.69001216,0.5904639,0.8792428,0.49086595,0.14079903,0.6814587,0.3174743,0.086050935,1.2025278,0.8820509,0.24935037,0.4598731,1.0942609,0.66405964,0.47001097,0.12884893,0.44168538,0.5283573,0.8979778,1.1210093,0.9453464,1.1134584,0.5062344,0.9880302,0.7715555,0.4691833,1.1570039,1.4271276,0.6782438,0.13133125
"Eml6",0.64757836,0.65434104,0.36384434,0.49732286,0.0252656,0.0018845819,0.02424878,0.0021295613,1.0096723,0.0037117936,0.047509514,0.0172921,0.031976353,0.02390201,0.0048164423,0.12005646,0.014585658,0.10004125,0.0151452245,0.13747694,0.0046755583,0.0025878816,0.0043455777,0.0040206905,0.0022018778,0.0013857123,0.0013297169,0.002145864,0.0020607018,0.0024895666,0.025560442,0.003936311,0.0012066349,0.050095417
"Emp1",0.0005105322,0.0007976442,0.0005248621,0.027262857,0.014356239,0.0035171844,0.0005006485,0.0003381946,0.0018018249,0.0038625812,0.04638428,0.018375792,0.040021043,0.0076376502,2.598374,0.53911215,0.10441591,0.015092895,0.030258738,0.15674683,0.040511314,0.0011343104,0.004494644,0.0076515693,0.0009621927,0.0007916904,0.002017594,0.01801923,0.00097301934,0.0029018626,0.043517474,0.0025777943,0.0012254026,2.1941898
"Emp2",0.0010319618,0.0007144245,0.0005996107,0.022689657,0.0088747665,0.0009218013,0.0006624469,0.00027027266,0.0035425301,0.0041845273,0.14170934,0.037958834,0.03075521,0.008886025,1.5519954,0.12407719,0.012425979,0.3234296,0.09027251,0.109738514,0.014008134,0.0022271988,0.0015514797,0.0007824127,0.0014245658,0.00066873163,0.000574374,0.0011661593,0.0007124919,0.0007334722,0.004980295,0.0018112694,0.0014281505,1.9106096
"Emp3",0.14637314,0.07844414,0.12613967,0.19336383,0.694338,0.69231874,0.9756318,0.5647574,0.9876895,0.5744658,0.83265203,0.39121798,2.7946334,1.1907737,0.31953436,0.5239143,0.8610436,0.6187002,0.50977767,2.2385693,3.5170112,1.3748937,2.1334956,2.692314,0.58816874,0.070451364,1.330908,1.2204951,1.1395581,1.2208307,2.8169909,0.6144443,1.0175953,2.727854
"Emsy",0.1902064,0.071995184,0.09943138,0.09410601,0.0716141,0.060983863,0.0677894,0.06420453,0.106689736,0.08019887,0.1611486,0.028127786,0.06714737,0.08043187,0.06079502,0.023063673,0.049116094,0.08617611,0.0821933,0.100162365,0.0678618,0.08118009,0.05825808,0.07633195,0.06860149,0.07924803,0.05637577,0.059534956,0.07452653,0.05908749,0.24535224,0.08195501,0.07203136,0.116438985
"Enah",0.005435424,0.0071645253,0.009590445,0.05467292,0.026381353,0.0156807,0.0024190506,0.010097748,0.0030797943,0.005102721,0.049551137,0.020599958,0.011005443,0.009444094,0.40949506,0.5179325,0.010522755,0.03825091,0.016701313,0.14557874,0.0108062895,0.0017058355,0.0030367447,0.0011873476,0.0006516226,0.0011384988,0.0007453827,0.0011396948,0.0010899948,0.0009721614,0.0056804577,0.0039543225,0.0010763743,0.38817686
"Enc1",0.0063483226,0.0028160645,0.0086169215,0.050711118,0.079369284,0.0529784,0.06348884,0.05025747,0.070804924,0.03316318,0.052068394,0.021129007,0.020824611,0.010183897,0.03187701,0.13643047,0.0033176504,0.036040176,0.0271332,0.1861527,0.070324406,0.053115956,0.0026949206,0.0065157968,0.0041497,0.0025341534,0.025453487,0.007923097,0.27262235,0.006883369,0.50902647,0.025854304,0.003200528,0.40919712
